著作id,出版著作名称,著作类别,ISBN号,编辑,出版时间,总字数（万字）,国家/地区,语种,出版社,全文地址,署名单位,归属二级单位编码,归属二级单位名称,其他署名单位,成员信息,校内成员账号
207,大学体育健康理论与实践,教材,7-306-02617-8,,2005-09-02,38.4,,中文,中山大学出版社,,中山大学,16300.0,体育部,,张保华（004617）、曹策礼（005015）、黄小华（014015）、石宏（005271）、樊莲香（006638）、何文胜（006873）、张新萍（006556）、方娅（006553）、刘思华（005826）,006556
208,心理科学：培养科学素养,专著,9787518412631,,2017-10-01,71.6,,中文,中国轻工业出版社,,中山大学,26000.0,心理学系,,张明、岳珍珠（110164）,110164
209,皮划艇运动教学与训练,编著,978-7-5692-6243-8,,2020-03-16,20.0,,中文,吉林大学出版社,,其他,,,其他,赵云雷（180305）、姜小丽、周意男、林秋华,180305
210,龙舟运动理论分析及技战术学练研究,专著,978-7-5681-5926-5,,2021-06-16,21.0,,中文,东北师范大学出版社,,其他,,,其他,赵云雷（180305）,180305
211,日语副词的偏误研究（中）,编著,978-7-5178-4371-9,,2021-08-01,37.4,,中文,浙江工商大学出版社,,中山大学,15000.0,外国语学院,,徐爱红（020166）,020166
212,中国城镇化进程中的乡村发展及空间优化重组,专著,978-7-03-049881-6,,2016-09-30,32.8,,中文,科学出版社,,中山大学,37000.0,地理科学与规划学院,,杨忍（130280）,130280
213,大学生体育与健康,教材,978-7-5643-3371-3,,2014-09-01,48.5,,中文,西南交通大学出版社,,中山大学,16300.0,体育部,,尚瑞花（020130）,020130
214,全科医学概论,教材,978-7-5659-0415-8,,2012-08-01,56.0,中国,中文,北京大学出版社,,中山大学,51000.0,公共卫生学院,,白华民、白英龙、丁水珍、古丽巴哈尔.卡德尔、郭桂平、何作顺、黄鹏、金宇（014122）、刘柳红、罗家有、王家骥、尹逊强、余毅震、翟玲玲、张立威、张艳、赵琳琳、赵淑英、朱海霞,014122
215,运动处方(第三版),教材,9787040559347,,2021-09-01,34.0,,中文,高等教育出版社,,其他,,,北京体育大学,王正珍、徐峻华、王艳、罗曦娟（150169）、陈桂英、张献博、李雪梅、祝莉,150169
216,中国企业股权结构若干特征研究——理论分析与经验证据,专著,978-7-5141-9299-5,,2019-06-01,20.0,中国,中文,中国财经出版传媒集团，经济科学出版社,,中山大学,14000.0,管理学院（创业学院）,,魏明海（8160001）、程敏英（140206）、蔡贵龙（237004）、黄琼宇,140206
217,气候变化与区域水分收支—实测•遥感•模拟,专著,9787030314031,,2011-07-15,63.0,,中文,科学出版社,,其他,,,北京大学,邱国玉、李瑞利、张清涛（150157）,150157
218,Silicon Nanomaterials Sourcebook,专著,9781498761918,,2017-09-01,6.4,,外文,CRC Press | Taylor & Francis Group,,中山大学,29000.0,材料科学与工程学院,,刘璞（110160）,110160
219,南极高分辨率遥感制图研究,专著,9787521006865,,2021-11-01,20.0,,中文,海洋出版社,,中山大学,76230.0,测绘科学与技术学院,,惠凤鸣（190191）、程晓（190117）、刘岩、康婧、李新情（206047）,190191、190117
220,中国现代文化视野中的逻辑思潮,专著,978-7-03-024284-6,,2009-04-01,26.0,,中文,科学出版社,,中山大学,11300.0,哲学系,,曾昭式（090108）,090108
221,从经验立场出发的心理学,译著,978-7-100-18074-0,,2020-05-25,30.0,,中文,商务印书馆,,中山大学,11300.0,哲学系,,郝亿春（100099）,100099
222,ACSM运动测试与运动处方指南（第十版）,译著,9787564430856,,2019-06-01,76.2,,中文,北京体育大学出版社,,其他,,,北京体育大学,王正珍、罗曦娟（150169）、张献博、钱菁华、李新、邱俊强、高瑞芳、王娟、王艳、张禹、李博文,150169
223,粤港澳大湾区可持续发展指数报告,专著,978-7-5203-1989-8,,2018-05-01,22.0,中国,中文,中国社会科学出版社,,中山大学,99132.0,粤港澳发展研究院,,张光南（100135）,100135
224,《从邂逅到相识：孔子与亚里士多德相遇在明清》,专著,9787301306710,,2019-11-26,45.0,中国,中文,北京大学出版社 ,,中山大学,11300.0,哲学系,,梅谦立（060178）,060178
225,粤港澳服务贸易自由化：“负面清单”管理模式,专著,9787516153765,,2012-12-01,31.8,,中文,中国社会科学出版社,,中山大学,9060.0,港澳珠江三角洲研究中心,,张光南（100135）,100135
226,粤港澳合作：政商手册——服务贸易“负面清单”,编著,978-7-5161-8145-4,,2016-08-01,33.1,,中文,中国社会科学出版社,,中山大学,99132.0,粤港澳发展研究院,,张光南（100135）,100135
227,粤港澳服务贸易自由化“负面清单”升级版：清单方案、政策创新、示范基地,编著,9787520319911,,2018-03-01,31.8,,中文,中国社会科学出版社,,中山大学,99132.0,粤港澳发展研究院,,张光南（100135）,100135
228,港澳青年内地创业：企业案例·创业者故事·政府政策,编著,978-7-5203-2482-3,,2018-06-01,41.5,,中文,中国社会科学出版社,,中山大学,99132.0,粤港澳发展研究院,,张光南（100135）,100135
229,卫星海洋学,译著,9787306062277,,2018-08-01,60.0,,中文,中山大学出版社,,中山大学,42000.0,海洋科学学院,,刘汾汾（130315）,130315
230,中国逻辑史研究方法论：首届两岸中国逻辑史学术研讨会论文集,编著,978-7-5203-4626-9,,2019-06-01,47.3,中国,中文,中国社会科学出版社,,中山大学,9050.0,逻辑与认知研究所,,何杨（140230）、李贤中,140230
231,四书系统下的儒家经学与政教秩序,编著,978-7-5531-1215-2,,2019-12-01,47.0,,中文,巴蜀书社,,中山大学,11300.0,哲学系,,周春健（090062）,090062
232,经学通论校注,专著,978-7-5222-0038-5,,2021-04-01,46.0,,中文,华夏出版社,,中山大学,11300.0,哲学系,,周春健（090062）,090062
233,诗经讲义稿,专著,978-7-5203-3871-4,,2019-02-01,31.4,,中文,中国社会科学出版社,,中山大学,11300.0,哲学系,,周春健（090062）,090062
234,內界深深深几许-关洪文集,编著,9787306058546,,2016-10-01,75.0,,中文,中山大学出版社,,中山大学,74130.0,物理学院,,赵福利（005671）、李志兵、陈敏,005671
235,statistical mechanics of neural networks,专著,978-981-16-7569-0,,2022-01-05,40.0,,外文,Springer,,中山大学,74130.0,物理学院,,黄海平（180095）,180095
236,光学,教材,9787040489323,,2018-08-01,20.0,,中文,高等教育出版社,,中山大学,74130.0,物理学院,,陈敏、赵福利（005671）、董建文,005671
237,太阳能基础理论与建模估算技术,译著,978-7-121-19060-5,,2013-10-01,38.4,,中文,电子工业出版社,,中山大学,74130.0,物理学院,,付青（060077）,060077
238,儿童康复学-学习指导及习题集,教材,978-7-117-27951-2,,2019-02-01,17.9,,中文,人民卫生出版社,,中山大学,51000.0,公共卫生学院,,马丙祥、李海峰、龙耀斌、肖农、吕智海、吴德、朱登纳、欧阳辉、杜青、庞伟、李玲、侯梅、李秀红（014181）、唐久来、李晓捷,014181
239,Statistical Methods for Biomedical Research,教材,978-981-122-886-5,,2021-05-01,102.0,,外文,World Scientific Publishing Co. Pte. Ltd.,,中山大学,51000.0,公共卫生学院,,方积乾（014040）、郝元涛（014178）、宇传华、张岩波、顾菁（110079）、徐天和、刘裕（197119）,110079
240,中华生物医学统计大辞典-统计遗传分册,专著,978-7-5037-9430-8,,2020-12-01,35.0,,中文,中国统计出版社,,中山大学,51000.0,公共卫生学院,,绕绍奇、王学钦（070018）、李启寨、李淼新（160021）、李金明、许德华、孙胜南、李让、李然、肖苏妹（130008）、张凡、陈业达、陈应坚、陈晓琳、陈新林、林帆、赵小蕾、胡月、郜艳晖、栾奕昭、郭小波、梁岩、韩克栋、覃继恒、曾景棠、温灿红、蓝树金、廖苑君、谭海珠、黎海霞,130008
241,控制理论引论,编著,978-7-03-069725-7,,2021-10-31,27.0,中国,中文,科学出版社,,中山大学,34000.0,数学学院,,孙轶民（070070）,070070
242,海洋植物学实验,教材,978-7-306-07179-8,杨丽华,2021-05-01,23.1,中国,中文,中山大学出版社,,中山大学,42000.0,海洋科学学院,,杨丽华（100098）、彭娟（120320）、石祥刚（030104）、李俊（109045）,100098、120320
243,日本語表現力と批判的思考力を育むアカデミック・ライティング教育,专著,978-4-86676-011-7,,2018-11-10,28.0,,外文,ココ出版,,中山大学,15000.0,外国语学院,,杨秀娥（190501）,190501
244,广州社会保障发展报告,专著,978-7-5097-6461-9,,2014-11-01,24.9,,中文,社会科学文献出版社,,其他,,,广州市社会科学院,吴少龙（120131）,120131
245,管理学基础,教材,9787117174824,,2013-08-01,65.8,,中文,人民卫生出版社,,其他,,,国家卫生和计划生育委员会,吴少龙（120131）,120131
246,卫生项目管理,教材,9787117175234,,2013-08-01,42.4,,中文,人民卫生出版社,,其他,,,国家卫生和计划生育委员会,吴少龙（120131）,120131
247, 中国流动人口公共卫生现状报告,专著,978-7-306-03848-7,,2011-03-01,15.4,,中文,中山大学出版社,,中山大学,51000.0,公共卫生学院,,吴少龙（120131）,120131
248,地方政府绩效预算改革,专著,9787543221475,,2012-09-01,19.6,,中文,格致出版社,,中山大学,13000.0,政治与公共事务管理学院,,吴少龙（120131）,120131
249,为人民看好“钱袋子”——一本有关地方预算审查监督的书,专著,9787207085832,,2010-01-01,23.0,,中文,黑龙江人民出版社,,中山大学,13000.0,政治与公共事务管理学院,,马骏（020168）、吴少龙（120131）,120131
250,中国劳动力动态调查：2017年报告,专著,9787520116428,,2017-11-01,50.0,,中文,社会科学文献出版社,,中山大学,23000.0,社会学与人类学学院,,吴少龙（120131）,120131
251,《粤港澳大湾区发展报告（2019-2020）》,专著,9787306070722,,2021-01-01,25.0,,中文,中山大学出版社,,中山大学,99132.0,粤港澳发展研究院,,吴少龙（120131）,120131
252,Understanding Density Matrices,专著,978-1-53616-252-3,,2019-10-23,10.32,美国,外文,"Nova Science Publishers, NY",https://novapublishers.com/shop/understanding-density-matrices/,中山大学,74130.0,物理学院,,Nadia V. Danielsen、Roman F. Nalewajski、A. Shebeko、P. Papakonstantinou、Chien-Chang Chen、Hsi-Sheng Goan、何广平（006530）、Narmin Abdulkhalik Kamil、Amin Habbeb AL- Khursan、Noriko Akutsu、Yasuhiro Akutsu、V. I. Gerasimenko,006530
253,组织行为学,教材,9787111582717,,2018-01-31,40.0,,中文,机械工业出版社,,中山大学,41000.0,国际金融学院,,麦克沙恩、格利诺、吴培冠（001378）,001378
