企业id,企业名称,统一社会信用代码,企业描述,注册资本,keywords,category_id
229,丰宾电子科技股份有限公司,9.14403E+17,丰宾电子科技股份有限公司是一家集研发、生产、销售全系列铝电解电容的国家级高新技术企业，创立于1993年，现已发展为员工近2200余人，年产值超20亿的大型电解电容器企业。公司在湖北宜昌、山西长治等地区分别设有分公司。,"21,691.032万(元)",大型企业|电容|高新技术|铝电解,20
230,丰田合成（佛山）橡塑有限公司,91440606758320286D,丰田合成（佛山）橡塑有限公司成立于2004年02月10日，注册地位于佛山市顺德区大良街道顺番公路五沙段5号，法定代表人为FUKUIHIROKI(福井博规)。经营范围包括生产经营特种密封材料、汽车用特种橡胶配件、汽车用树脂产品（不含废旧塑料和危险化学品）以及自产产品提供售后服务，从事汽车零部件、碳黑、乙丙橡胶、热塑性聚酯的批发业务（以上涉及行业许可管理的，按国家有关规定办理申请）。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）(依法须经批准的项目，经相关部门批准后方可开展经营活动),"1,650万(美元)",炭黑|汽车用树脂|汽车零部件|汽车|特殊密封材料,72
231,丰田通商（广州）有限公司,91440101618478217N,丰田通商（广州）有限公司成立于1997年11月07日，注册地位于广州市黄埔区东江大道284号4006房，法定代表人为绵贯辰哉（WATANUKITATSUYA）。经营范围包括婴幼儿配方乳粉及其他婴幼儿配方食品销售;食品销售（仅销售预包装食品）;服装服饰批发;阀门和旋塞销售;石墨及碳素制品销售;电子专用材料销售;陆上风力发电机组销售;海上风力发电机组销售;化工产品销售（不含许可类化工产品）;电子元器件批发;石油制品销售（不含危险化学品）;太阳能热利用装备销售;太阳能热发电装备销售;太阳能热发电产品销售;太阳能热利用产品销售;饲料原料销售;新能源汽车整车销售;机械设备销售;电气设备销售;汽车零配件批发;针纺织品及原料销售;销售代理;国内贸易代理;化妆品批发;家用电器销售;建筑装饰材料销售;家具销售;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;劳动保护用品销售;卫生用品和一次性使用医疗用品销售;润滑油销售;谷物销售;豆及薯类销售;包装材料及制品销售;纸制品销售;金属制品销售;金属矿石销售;塑料制品销售;橡胶制品销售;合成纤维销售;电子产品销售;普通机械设备安装服务;通用设备修理;电气设备修理;会议及展览服务;采购代理服务;国内货物运输代理;国际货物运输代理;汽车旧车销售;农副产品销售;专用设备修理;太阳能发电技术服务;电气机械设备销售;日用品出租;风力发电技术服务;服装服饰零售;电池销售;汽车销售;进出口代理;货物进出口;检验检测服务;发电、输电、供电业务;危险化学品经营;第一类非药品类易制毒化学品经营丰田通商（广州）有限公司具有6处分支机构。,120万(美元),电器|陶瓷|餐具|电子|枕芯|通讯设备|衬衫|地毯|外套|毛衣,53
232,丰疆智能科技股份有限公司,91420000MA492B8470,丰疆智能是一家专注于数字化、自动化和新能源的机器人公司。公司致力于为劳动密集程度最高的行业制造有用且价格合理的机器人，用公司的技术来推动碳中和的实现，改善人们的工作环境。目前公司的技术已广泛应用于农业、园艺、施工、测绘和设施服务等领域。公司在新加坡、美国、瑞典、中国大陆及香港等多地有研发和运营中心。,"93,131.3527万(元)",碳中和|数字化|机器人|自动化|新能源,58
233,丽珠医药集团股份有限公司,9.14404E+17,丽珠医药集团股份有限公司创建于1985年1月，注册资本为9.35亿元，是集医药研发、生产、销售为一体的综合医药集团公司，现有员工8000余人，A+H股上市公司。2021年度，公司营业收入120.6亿元，净利润17.8亿元，研发投入15.2亿元。丽珠在原料药、化学药、中药、生物药、体外诊断试剂等领域不断取得突破，产品分布在消化、心脑血管、生殖内分泌、精神/神经等领域。公司持续聚焦创新药主业及高壁垒复杂制剂，推出了亮丙瑞林和艾普拉唑等重磅产品，在消化和生殖领域实现放量增长。丽珠组建了辐射全国的处方药营销网络，正在快速推进全球化销售平台建设。通过专业的学术推广、疗效确切的高质量产品，与医院、患者之间建立了良好的沟通渠道。丽珠的发展离不开优秀人才的不断加入与持续高增长的研发投入，公司构建了全方位的科学家网络，持续全球招募顶尖人才，研发团队拥有数百名博士及高端研发人员。,"94,358.5025万(元)",高壁垒复杂制剂|国际化销售平台|处方药营销网络|医药研发,45
234,丽珠集团新北江制药股份有限公司,91441800617971683E,丽珠集团新北江制药股份有限公司成立于1993年03月28日，注册地位于广东省清远市人民一路，法定代表人为温军贤。经营范围包括许可经营项目：药品的生产（范围详见《中华人民共和国药品生产许可证》），兽药的生产（范围详见《中华人民共和国兽药生产许可证》）；一般经营项目：医药中间体的制造，化工原料及产品的制造，饲料添加剂、食品添加剂的制造，经营本企业和本企业成员企业自产产品及相关技术的出口业务，医药相关产品及健康相关产业产品的研发、技术服务、技术转让、翻译服务、信息技术服务、培训服务，生产、科研所需原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)丽珠集团新北江制药股份有限公司对外投资5家公司。,"23,988.77万(元)",机械设备|技术开发|项目审批|中间体|原材料|生产经营活动|信息科技|翻译服务|外商投资|仪器仪表,45
235,丽珠集团（宁夏）制药有限公司,91640221574877733M,丽珠集团（宁夏）制药有限公司成立于2011年08月17日，注册地位于宁夏平罗工业园区301省道南侧头石公路西侧，法定代表人为罗强。经营范围包括食品添加剂：L-苯丙氨酸、精氨酸；辅酶Q10；卡那霉素的生产、销售；兽药：盐霉素钠、盐霉素预混剂、恩拉霉素；盐酸林可霉素、洛伐他汀；霉酚酸、美伐他汀的生产、销售；货物进出口、技术进出口、代理进出口；厂房、设备租赁。（涉及许可证的按照许可证核准范围经营）(依法须经批准的项目，经相关部门批准后方可开展经营活动),"20,000万(元)",食品添加剂|进出口|生产加工|出租|兽药,45
236,义乌清越光电技术研究院有限公司,91330782MA2M0TAA55,义乌清越光电技术研究院有限公司成立于2021年01月12日，注册地位于浙江省义乌市北苑街道雪峰西路968号义乌科技创业园3号楼1楼（自主申报），法定代表人为高裕弟。经营范围包括一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；显示器件制造；显示器件销售；计算机软硬件及辅助设备零售；电子元器件零售(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。,"11,000万(元)",电子产品销售|光电|技术研究|计算机硬件|软件开发,20
237,乐土佑嘉（深圳）医药科技有限公司,91440300MA5FDK4B07,乐土佑嘉（深圳）医药科技有限公司成立于2018年11月26日，注册地位于深圳市大鹏新区葵涌街道生命科学产业园A11栋202，法定代表人为崔文浩。经营范围包括一般经营项目是：生物医药产品（除人体干细胞、基因诊断与治疗技术开发和应用）的研发、转让自有技术、提供相关技术服务及技术咨询；化工原料及产品（危险品除外）的批发、进出口、佣金代理（拍卖除外）、并提供相关配套服务。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：药物、药品制剂及试剂的研发、生产、销售；生物技术的研发、生产、销售；保健品的研发生产与销售。,"2,000万(元)",生物科技|生物医药|医疗器械|法律|化工原料,45
238,乐怡海创文化科技（广东）有限公司,91440605MA5215F96A,乐怡海创文化科技（广东）有限公司成立于2018年07月18日，注册地位于佛山市南海区桂城街道庆怡路7号海创大厦1座2915室（住所申报），法定代表人为于泳。经营范围包括一般项目：软件开发；非物质文化遗产保护；会议及展览服务；供应链管理服务；艺（美）术品、收藏品鉴定评估服务；互联网销售（除销售需要许可的商品）；其他文化艺术经纪代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）乐怡海创文化科技（广东）有限公司对外投资2家公司。,"1,000万(元)",供应链管理|艺术品鉴定|软件开发|互联网销售|非物质文化遗产保护,53
239,乐斯福（明光）有限公司,9134110070497257XB,乐斯福（明光）有限公司成立于1999年03月18日，注册地位于安徽省明光经济开发区振兴大道60号（一照多址），法定代表人为AntoineMarieHenriAlexisBaule。经营范围包括许可项目：食品生产；食品添加剂生产；食品销售；食品互联网销售；饲料生产；饲料添加剂生产；粮食加工食品生产（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：食品添加剂销售；食品进出口；机械设备租赁；租赁服务（不含许可类租赁服务）；保健食品（预包装）销售；货物进出口；饲料原料销售；饲料添加剂销售；畜牧渔业饲料销售；肥料销售；生物饲料研发；技术进出口；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工程和技术研究和试验发展；科技中介服务；农副产品销售；互联网销售（除销售需要许可的商品）；信息技术咨询服务；企业管理咨询；企业管理（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）乐斯福（明光）有限公司具有4处分支机构。,"2,160万(美元)",食品添加剂生产|食品生产|饲料销售|饲料生产|食品销售,114
240,乐达（广州）香味剂有限公司,91440101708307024C,乐达（广州）香味剂有限公司成立于1998年06月30日，注册地位于广州经济技术开发区隧达街20号，法定代表人为CarlosVentos。经营范围包括佣金代理;香精及香料批发;饲料添加剂批发;香料、香精制造;饲料批发;货物进出口(涉及外资准入特别管理规定和许可审批的商品除外);销售本公司生产的产品（国家法律法规禁止经营的项目除外；涉及许可经营的产品需取得许可证后方可经营）;饲料添加剂零售;香精及香料零售;食品添加剂批发;食品添加剂零售;食品添加剂制造;饲料添加剂、添加剂预混合饲料生产;天然食品添加剂、天然香料新技术开发与生产;乐达（广州）香味剂有限公司具有1处分支机构。,"1,800.971万(美元)",饲料|佣金代理|香水|香料|食品添加剂,114
241,乐金化学（惠州）化工有限公司,91441300566668915G,乐金化学（惠州）化工有限公司成立于2011年01月05日，注册地位于广东省惠州市大亚湾经济技术开发区石化工业区，法定代表人为周垠廷(JOOEUNJUNG)。经营范围包括开发、生产、销售ABS（丙烯腈、丁二烯、苯乙烯三元共聚物）、ABS基本粉、SAN（苯乙烯、丙烯腈共聚物）、PBL（初级丁二烯胶乳）产品并提供相关技术服务；开发、建造合营公司从事经营活动所必需的相关仓储设施；丁二烯、苯乙烯、丙烯腈等原、辅料的储存；运输自产产品；货物进出口及国内贸易；产品在国内外市场销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,"12,250万(美元)",国际贸易|PBL|仓储|SAN|ABS|运输,90
242,乳源东阳光氟树脂有限公司,91440232082643287Y,乳源东阳光氟树脂有限公司成立于2013年11月21日，注册地位于乳源县乳城镇化工基地，法定代表人为黄凯金。经营范围包括研发、生产、销售：氟树脂；生产、销售：盐酸（以上经营项目在许可证许可业务范围内及有效期内经营）；货物及技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外）。(依法须经批准的项目，经相关部门批准后方可开展经营活动)乳源东阳光氟树脂有限公司对外投资1家公司。,"12,500万(元)",进出口|外商投资|氟树脂|盐酸,53
243,云南一叶生物科技股份有限公司,9153090030955866X9,云南一叶生物科技股份有限公司成立于2014年07月14日，注册地位于云南省临沧市凤庆县凤山镇滇红生态产业园区，法定代表人为莫楠。经营范围包括一般项目：食品销售（仅销售预包装食品）；食品互联网销售（仅销售预包装食品）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；货物进出口；技术进出口；茶叶种植；坚果种植（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：食品生产；食品销售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。云南一叶生物科技股份有限公司对外投资2家公司。,"5,000万(元)",坚果种植|技术推广|技术开发|茶叶种植|技术咨询|技术服务|技术培训|技术进出口|货物进出口|外商投资,53
244,云南傣药有限公司,91533102219181598F,云南傣药有限公司成立于1995年03月25日，注册地位于中国（云南）自由贸易试验区德宏片区瑞丽市金滇路东侧，法定代表人为丁青。经营范围包括许可项目：药品生产；药品批发；药品零售；药品进出口；饮料生产；食品生产；食品经营；保健食品生产；保健食品销售；化妆品生产；消毒剂生产（不含危险化学品）；消毒器械生产；卫生用品和一次性使用医疗用品生产；医用口罩生产；道路货物运输（不含危险货物）（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：货物进出口；技术进出口；化妆品批发；化妆品零售；互联网销售（除销售需要许可的商品）；消毒剂销售（不含危险化学品）；卫生用品和一次性使用医疗用品销售；卫生用品销售；日用化学产品制造；日用百货销售；日用品零售；面料纺织加工；包装材料及制品销售；塑料制品制造；塑料制品销售；医用口罩批发；医用口罩零售；日用口罩（非医用）生产；日用口罩（非医用）销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。云南傣药有限公司对外投资3家公司，具有1处分支机构。,"2,100万(元)",消毒液生产|医疗器械生产|药品生产|药品零售|药品批发,45
245,云南南景高速公路有限公司,91530823MA6NCQEM42,云南南景高速公路有限公司成立于2018年08月30日，注册地位于云南省普洱市景东县锦屏镇白云路38号，法定代表人为余显全。经营范围包括公路工程施工；公路交通设施建设、管理、运营；公路养护、绿化工程；土石方工程服务；建筑材料零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"10,000万(元)",公路施工|公路养护|公路交通设施|建筑材料,82
246,云南昊邦制药有限公司,91530000725282180K,云南昊邦制药有限公司成立于2000年08月30日，注册地位于云南省昆明市昆明新城高新技术产业基地灯盏花街555号，法定代表人为陈巧。经营范围包括许可项目：药品生产；药品批发；药品零售；药品进出口；消毒剂生产（不含危险化学品）；卫生用品和一次性使用医疗用品生产（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）　一般项目：医学研究和试验发展；专用化学产品制造（不含危险化学品）；中草药种植；中草药收购；中药提取物生产；药品委托生产；第一类医疗器械生产；第一类医疗器械销售；第二类医疗器械销售；消毒剂销售（不含危险化学品）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；卫生用品和一次性使用医疗用品销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。云南昊邦制药有限公司对外投资4家公司。,"5,876.1772万(元)",消毒剂生产|卫生用品|医药|技术服务|药品进出口|中药材种植|药品生产|医疗器械销售|药品零售|药品批发,45
247,云南省交通规划设计研究院有限公司,9.153E+17,云南省交通规划设计研究院有限公司成立于1994年06月30日，注册地位于云南省昆明市拓东路石家巷9号，法定代表人为刘惠兴。经营范围包括国内国外和内外资的公路行业（含公路、特大桥梁、特长隧道、交通工程等）、市政行业（含道路工程、桥梁工程、城市隧道工程、给水工程、排水工程等）、水运、航空、机场、建筑、风景园林、环境工程等工程的咨询、项目建议书、规划、可行性研究、勘察、设计、测绘、岩土工程、水土保持方案编制、环境污染治理、试验检测、灾害防治、工程监理、节能评估及评价；工程建设项目的总承包、代建及项目管理；提供本行业的勘察、设计、咨询和监理劳务人员；科学技术研究；计算机软件开发、应用和销售；地理信息系统服务。兼营范围：按国家有关规定在国内国外开展工程技术开发；工程项目所需的软硬件设备、材料及零配件的生产、销售及进出口；交通、市政、建筑工程方面的技术服务、技术培训、技术咨询、科学技术研究及成果转让；物业管理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）云南省交通规划设计研究院有限公司对外投资8家公司，具有2处分支机构。,"11,956.5217万(元)",监理|零配件|水运|物业管理|GIS|市政|航空|公路|建筑设计|软件开发,82
248,云浮市欧铂利新材料科技有限公司,91445322MA53B1Y75F,云浮市欧铂利新材料科技有限公司成立于2019年05月30日，注册地位于郁南县大湾镇郁南大湾工业园B04-1地块，法定代表人为王志敏。经营范围包括研发、生产、加工、销售、安装：高分子人造石产品、石英石产品、定制产品（水槽、浴缸）；销售：定制配件（水槽、浴缸）；货物或技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外）；其他科技推广和应用服务业。(依法须经批准的项目，经相关部门批准后方可开展经营活动),"5,000万(元)",石英石|定制|水槽|高分子人造石|浴缸,62
249,云浮市金莱昊化工有限公司,91445322MA529K431B,云浮市金莱昊化工有限公司成立于2018年09月18日，注册地位于郁南县大湾镇大湾工业园区管委会317室(仅限办公)，法定代表人为谢煜添。经营范围包括生产、销售：化工原料及产品(不含危险化学品）、油性油墨、水性油墨、胶粘剂、包装材料、塑料制品、橡胶制品;货物或技术进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动),"2,000万(元)",包装材料|油性油墨|胶粘剂|化工原料|水性油墨,90
250,五羊━本田摩托（广州）有限公司,91440183618402730N,五羊-本田摩托（广州）有限公司成立于1992年，是由广州汽车集团股份有限公司、本田技研工业株式会社和本田技研工业（中国）投资有限公司共同投资组建。作为二轮交通工具的制造者，公司一直致力于燃油车、电动车的研发、制造和销售，竭尽全力，提供合理价格的高质量商品，让全世界顾客满意。五羊-本田公司现拥有骑式车、踏板车、弯梁车等34款车型，400多个品种，这些产品凭借质量优异、款式新颖、加速性能优越和耗油量小而深受市场欢迎；五羊-本田公司的销售服务网点遍布全国各地，共有各形式的销售店、服务店近7000家，并建立了多种营销模式；在国际市场，五羊-本田摩托车已出口遍及全球各地，出口的国家和地区近70个。五羊-本田公司成立以来，先后被评为广东省百家和谐劳动关系先进企业、中国最具竞争力100家名牌、全国外经贸质量效益型先进企业、全国最畅销商品金桥奖三连冠、全国机械行业企业文化建设先进单位，连续多年被评为全国“安康杯”优胜企业。2013年五羊-本田荣获“国家守合同重信用企业”、“中国制造企业500强”、“广东省诚信守法示范企业”、“广州市著名商标”。,"4,900万(美元)",摩托车|国际市场|销售服务|五羊-本田,53
251,交投控股集团（深圳）有限公司,91440300MA5FM05M1Y,交投控股集团（深圳）有限公司成立于2019年05月17日，注册地位于深圳市南山区南山街道南山社区东滨路68号濠盛商务中心709C，法定代表人为申时富。经营范围包括一般经营项目是：从事担保业务（不含融资性担保）；投资兴办实业(具体项目另行申报)；企业信用风险管理咨询（不含限制项目）；为创业企业提供创业管理服务业务；创业投资业务(具体项目另行申报)；文化项目投资(具体项目另行申报)；新能源项目投资、健康产业项目投资(具体项目另行申报)；林业项目投资(具体项目另行申报)；医疗养老项目投资(具体项目另行申报)；农业技术开发项目投资(具体项目另行申报)；影视项目投资(具体项目另行申报)；教育项目投资(具体项目另行申报)；投资顾问(不含限制项目)；能源、港口基础施工项目投资(具体项目另行申报)；计算机软硬件技术开发与销售；经济信息咨询、财务咨询、投资咨询(以上均不含限制项目)。，许可经营项目是：交投控股集团（深圳）有限公司对外投资2家公司。,"9,900万(元)",林业|医疗养老|金融咨询服务|农业开发|风险管理与咨询|担保业务|新能源|健康产业|文化产业|能源,53
252,京东方科技集团股份有限公司,9.111E+17,京东方科技集团股份有限公司（BOE）创立于1993年4月，是一家为信息交互和人类健康提供智慧端口产品和专业服务的物联网公司。京东方的核心事业包括端口器件、物联网创新、智慧医工。端口器件产品广泛应用于手机、平板电脑、笔记本电脑、显示器、电视、车载、可穿戴设备等领域；物联网创新为新零售、交通、金融、教育、艺术、医疗等领域，搭建物联网平台，提供“硬件产品+软件平台+场景应用”整体解决方案；在智慧医工领域，京东方通过移动健康管理平台和数字化医院为用户提供了全面的健康服务。,"3,819,636.3421万(元)",端口器件|智慧医工|物联网创新,43
253,从都国际企业有限公司,91440101793489132F,从都国际企业有限公司成立于2006年10月20日，注册地位于广州市从化从都大道1号，法定代表人为郑少荣。经营范围包括房地产开发经营;房地产咨询服务;自有房地产经营活动;房屋租赁;物业管理;酒店管理;餐饮管理;企业管理咨询服务;企业自有资金投资;资产管理（不含许可审批项目）;大型活动组织策划服务（大型活动指晚会、运动会、庆典、艺术和模特大赛、艺术节、电影节及公益演出、展览等，需专项审批的活动应在取得审批后方可经营）;货物进出口（专营专控商品除外）;技术进出口;商品批发贸易（许可审批类商品除外）;花卉种植;会议及展览服务;健身服务;园艺作物种植;旅游景区规划设计、开发、管理;汽车租赁;林业产品批发;农产品初加工服务;造林、育林;谷物副产品批发;酒店住宿服务（旅业）;自助餐服务;咖啡馆服务;酒吧服务;冷热饮品制售;甜品制售;日式餐、料理服务;韩式餐、料理服务;糕点、面包零售;预包装食品零售;中餐服务;西餐服务;游泳馆;展览馆;洗浴服务;高尔夫球练习场;从都国际企业有限公司对外投资2家公司，具有1处分支机构。,"660,016.8046万(元)",餐饮服务|旅游景区规划|物业管理|森林资源保护与利用|管理|健身服务|开发|园艺作物种植|技术进出口|自有房地产经营,53
254,仙乐健康科技股份有限公司,91440500617536366K,"仙乐健康科技股份有限公司成立于1993年，是营养保健食品领域一家以技术创新及国际化为战略导向，集研发、生产、销售、技术服务为一体的综合服务提供商。公司在营养保健食品领域深耕多年，一直保持对市场需求和技术发展的关注，持续开展营养、功能配方的开发和剂型技术的应用研究，以更好地满足从婴童、青少年、孕妇到中老年人群的不同健康需求。公司目前服务于葛兰素史克公司、葆婴有限公司、安琪酵母股份有限公司、修正药业集团股份有限公司、NowHealthGroup,Inc、TakedaPharmaA/S、QueisserPharmaGmbH&Co.KG。公司海外客户主要集中在欧洲和北美洲，海外业务收入约占40%，客户遍及德国、英国、美国、加拿大、意大利等国家。","18,049.6864万(元)",健康科技|销售|仙乐|营养保健品,50
255,仙桃市渤创环保设备有限公司,91429004MA4928PX49,仙桃市渤创环保设备有限公司成立于2017年12月05日，注册地位于仙桃市彭场镇共同村创业大道以西，法定代表人为张敏。经营范围包括许可项目：第二类医疗器械生产；卫生用品和一次性使用医疗用品生产（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：环境保护专用设备制造；日用口罩（非医用）生产；日用口罩（非医用）销售；产业用纺织制成品制造；产业用纺织制成品销售；环境保护专用设备销售；家用纺织制成品制造；第一类医疗器械生产；第一类医疗器械销售；第二类医疗器械销售；卫生用品和一次性使用医疗用品销售；塑料制品制造；塑料制品销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,500万(元),医疗器械|环保设备|纺织品|塑料制品,86
256,伊之密股份有限公司,91440606740846335Y,伊之密股份有限公司（下简称：YIZUMI）创始于2002年，立足中国广东，放眼全球发展，作为中国装备技术领域的标杆企业，下属有注塑机、压铸机、橡胶注射成型机、高速包装系统、机器人自动化集成系统等多个事业部，在装备制造领域实现多元化发展，是一家集设计、研发、生产、销售及服务为一体的机械装备整体服务提供商。全球化经营下，YIZUMI的生产基地分布国内外，全球范围占地总面积近60万平方米，现拥有职工超过3000名。目前YIZUMI在顺德高黎、五沙、苏州吴江、印度古吉拉特邦和美国俄亥俄州等地，建起生产基地，实现产能全面升级。同时在德国亚琛成立研发中心，在越南、印度、巴西、德国都建有技术服务中心。,"46,860.7084万(元)",注塑机|橡胶注射成型机|压铸机|员工数量|包装系统|海外生产基地|生产制造,91
257,优视科技（中国）有限公司,91440101088691167J,优视科技（中国）有限公司成立于2014年04月01日，注册地位于广州市天河区高普路38号301房302房（仅限办公），法定代表人为杨怀渊。经营范围包括工程和技术研究和试验发展;软件开发;信息系统集成服务;信息技术咨询服务;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;广告设计、代理;广告制作;广告发布（非广播电台、电视台、报刊出版单位）;软件销售;软件外包服务;非居住房地产租赁;优视科技（中国）有限公司对外投资6家公司，具有2处分支机构。,"8,000万(元)",技术支持|技术研究|软件开发|信息系统集成服务|咨询服务,53
258,佛山三友汽车部件制造有限公司,9.14406E+17,佛山三友汽车部件制造有限公司成立于2012年02月14日，注册地位于佛山市南海区丹灶镇诚友路1号，法定代表人为白大成。经营范围包括冲压件、焊接件、塑料件、五金配件、电器配件制造；工装设计及机械加工。金属材料销售；货物进出口，技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）(依法须经批准的项目，经相关部门批准后方可开展经营活动)〓,"5,260万(元)",汽车部件|塑料件|工装设计|电器配件|五金配件|机械加工|金属材料销售|货物进出口|技术进出口|焊接件,57
259,佛山丰田纺织汽车零部件有限公司,9.14406E+17,佛山丰田纺织汽车零部件有限公司成立于2005年04月21日，注册地位于广东省佛山市南海区狮山镇南海科技工业园北区，法定代表人为KOIDEKAZUO。经营范围包括汽车用滤清器、汽车内饰件、高档五金件、汽车电子装置和相关零部件的开发、制造、内外销售；从事上述产品的同类商品的进出口、批发及佣金代理（拍卖除外），提供产品售后服务及其他相关配套业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）(依法须经批准的项目，经相关部门批准后方可开展经营活动),960万(美元),滤清器|内饰件|电子|五金件|汽车,71
260,佛山互心生物科技有限公司,91440604MA4W2NWC9H,佛山互心生物科技有限公司成立于2016年12月14日，注册地位于佛山市禅城区华宝南路13号二座十二层自编之1243室，法定代表人为汪景安。经营范围包括生物技术研发、转让、咨询、服务；医药研究、开发、技术转让及信息咨询；持有效审批证件从事食品流通；销售：日用品、化妆品、保健食品；国内贸易；货物及技术进出口。(依法须经批准的项目，经相关部门批准后方可开展经营活动),300万(元),医药研究|生物技术研发|化妆品|医疗器械|保健品,53
261,佛山以太物联科技有限公司,91440606MA4WXL1QX2,佛山以太物联科技有限公司成立于2017年08月02日，注册地位于佛山市顺德区大良南国东路9号广东顺德中山大学卡内基梅隆大学国际联合研究院教学科研楼N505F单元，法定代表人为吴妍。经营范围包括电子系统开发与销售，芯片开发与销售，计算机系统集成，计算机软件开发与销售，物联网产品、物联网解决方案的设计与销售，技术成果转让、技术培训与咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）(依法须经批准的项目，经相关部门批准后方可开展经营活动),300万(元),物联网|技术开发|芯片|计算机集成|电子系统,43
262,佛山佐尔汽车部件有限公司,91440605345314507X,佛山佐尔汽车部件有限公司成立于2015年06月04日，注册地位于佛山市南海区狮山镇松岗商业大道仁星综合楼后侧自编8号，法定代表人为朱华。经营范围包括一般项目：汽车零部件及配件制造；汽车零部件研发；五金产品制造；汽车零配件零售；汽车零配件批发；摩托车及零部件研发；摩托车零配件制造；摩托车及零配件零售；摩托车及零配件批发；机械零件、零部件加工；机械零件、零部件销售；通用零部件制造；模具制造；模具销售；专业设计服务；工业设计服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；技术进出口；货物进出口；劳务服务（不含劳务派遣）；普通货物仓储服务（不含危险化学品等需许可审批的项目）；非居住房地产租赁。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）佛山佐尔汽车部件有限公司对外投资3家公司。,"12,000万(元)",机械设备|摩托车零配件|汽车零部件|建筑设计|模具|汽车零配件,57
263,佛山佛塑科技集团股份有限公司,91440600190380023W,佛山佛塑科技集团股份有限公司（证券简称：佛塑科技证券代码：000973）是中国塑料新材料行业的龙头企业、中国制造业500强、国家火炬计划重点高新技术企业集团，是广东省工业龙头企业中唯一的“战略产业类新材料企业”，广东省塑料工程技术研发中心的依托企业。佛塑科技秉承“创新、进取、务实、卓越”的精神，致力于新能源、新材料、节能环保产业的研发制造，近年开发的锂离子电池隔膜、偏光膜和电工电容薄膜等新型聚合物材料已经蜚声国内外市场，现已逐步形成以渗析材料、电工材料、光学材料和阻隔材料四大系列产品为框架的产业布局。公司近期研发的晶硅太阳能电池用PVDF膜背板项目、复合智能节能薄膜项目等，标志着公司向新能源、新材料产业高端发展迈向新的台阶。,"96,742.3171万(元)",节能环保|偏光膜|新材料|新能源|半导体,68
264,佛山发尔特克汽车零部件有限公司,9.14406E+17,佛山发尔特克汽车零部件有限公司成立于2009年11月26日，注册地位于广东省佛山市南海区丹灶镇南海国家生态工业示范园区海棠路1号，法定代表人为SEKINETOSHIO（关根敏男）。经营范围包括汽车零部件、用品及其相关构成部件，以及相关模具、冶具、检具的开发设计、生产、加工及销售（含进出口），以及相关的售后服务。（以上项目不涉及外商投资准入特别管理措施）（依法须经批准的项目，经相关部门批准后方可开展经营活动。）(依法须经批准的项目，经相关部门批准后方可开展经营活动),"2,500万(美元)",售后服务|检具|汽车零部件|模具|冶具,57
